PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
hmHfY,2q1r1k1/1b2Np2/pn2p2b/1p1pP3/3P4/1P1Q4/P4PPP/1B3RK1 b - - 1 23,e8e7 d3h7 g8f8 h7h8,918,85,98,4988,fork mate mateIn2 middlegame short,https://lichess.org/X9R21oTn/black#46,,
1i96b,r1b4r/p3kp1p/1p1qpnp1/3p4/7Q/P1N2P2/1P4P1/3RRK2 b - - 1 24,d6c5 c3d5 e7f8 h4h6 f8e8 d5f6 e8e7 f6d5,2504,102,80,48,crushing middlegame pin veryLong,https://lichess.org/MWc4w6fW/black#48,,
wAGMe,4Rqrk/5r1p/1p3P2/pPp5/8/3p2P1/1Q5P/4R1K1 b - - 2 38,f8d6 e8g8 h8g8 e1e8,1014,93,57,33,attraction crushing endgame short,https://lichess.org/JhYhIRTk/black#76,,
0lF9D,8/5rk1/2p4p/2p1Q3/3pb2N/8/Prq2PPP/4R1K1 b - - 13 37,g7f8 h4g6 e4g6 e5h8,2024,76,93,9693,master mate mateIn2 middlegame sacrifice short,https://lichess.org/6kHIeXED/black#74,,
eR3fD,2r3k1/1b3p2/3p1qp1/Rp1P3p/1Pr1P3/3Q1P2/4N1PP/1R4K1 w - - 0 30,a5b5 b7a6 b5a5 c4c1,1637,75,88,747,advantage master middlegame short,https://lichess.org/TZfDuuCp#59,,
BHJPl,r1b3k1/1p1p3p/p4Qp1/2qP1p2/5P2/3p4/PPP3PP/4R2K b - - 5 23,d3c2 e1e8 c5f8 e8f8,815,80,85,201,endgame kingsideAttack mate mateIn2 short,https://lichess.org/eIuChjco/black#46,,
tCCgq,r4r2/pp4kp/1qp2ppb/3P1b2/3Nn3/1B1NP3/PP2Q1PP/2R2RK1 b - - 3 22,c6d5 f1f5 g6f5 d4f5,1941,79,76,50,advantage middlegame short,https://lichess.org/ZCInNRv0/black#44,,
Eln4a,8/6Q1/8/1pp5/3nrkPP/P7/1P6/6K1 w - - 3 43,g7g5 f4g3 g1f1 d4f3 g5c1 f3h2,2461,78,84,86,endgame,https://lichess.org/Q6j3XUuG#85,,
pFqmK,1k1r3r/ppq2ppp/2p1p1b1/2Np4/1Q1P4/4PPP1/PPP3P1/R3K2R b KQ - 6 16,g6c2 c5a6 b8c8 a6c7,1194,79,93,1107,crushing middlegame pin queensideAttack short,https://lichess.org/TJoALrPZ/black#32,Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System,
0iyhE,q7/p5k1/1pn1b1p1/6P1/2p4Q/2P5/PP6/3R2K1 b - - 0 29,c6e5 h4d4 a8d5 d4d5 e6d5 d1d5,2280,75,93,2502,advantage endgame long pin,https://lichess.org/AcuxvAO1/black#58,,
