PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,DailyDate
sWMvq,2rr2k1/1bp1b1pp/1p2p3/p2qBp2/3PN3/2P5/PP1Q1PPP/R3R1K1 w - - 0 17,e4g3 d5g2,477,99,63,112,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/fdvDnLqM#33,French_Defense French_Defense_Tarrasch_Variation,
9URIU,7R/8/4Kpk1/4p1p1/3b1r2/p7/8/1R6 b - - 11 57,a3a2 b1b8 e5e4 b8g8,2215,77,93,1972,endgame mate mateIn2 quietMove short,https://lichess.org/Ypp3GEzi/black#114,,
28Aum,6R1/4k2p/2n5/3pNp2/5P2/1P2K3/P1r3PP/8 w - - 5 43,g8c8 d5d4 e3d3 c6b4 d3d4 c2c8,1904,75,96,10291,advantage discoveredAttack endgame long,https://lichess.org/aLDGfHiC#85,,
NRtuj,8/8/2p5/1kP2b2/3KPP2/8/8/8 b - - 0 41,f5e4 d4e4 b5c5 e4e5 c5b6 f4f5 b6c7 e5e6,1958,83,93,4923,crushing defensiveMove endgame master masterVsMaster quietMove veryLong,https://lichess.org/hiW0aLD3/black#82,,
Kt2vH,5rk1/pp2ppb1/1q1p2pp/5P2/8/5P1Q/PPr4P/R1B1R2K b - - 2 23,b6f2 c1e3 f2h2 h3h2 c2h2 h1h2,1765,75,95,7209,crushing long middlegame,https://lichess.org/PKLqzpIW/black#46,,
J22fR,7r/ppp5/6k1/3N4/4P3/3P2b1/PPP4P/5R1K w - - 0 33,f1g1 h8h2,588,84,100,81,endgame mate mateIn1 oneMove,https://lichess.org/yyTMEmCn#65,,
BtZLp,2rq3k/5ppp/8/3bB3/p7/P3R3/1Q3Pr1/4RK2 b - - 1 48,d8g5 e5g7 g5g7 e3e8 c8e8 e1e8,1102,78,85,174,long master mate mateIn3 middlegame sacrifice,https://lichess.org/REtyLkrm/black#96,,
8jqBD,r4rk1/ppp2pp1/6b1/3Np2B/3nP3/3P4/PPPK1P2/R6R b - - 2 17,g6h5 d5e7 g8h7 h1h5,1427,80,90,930,anastasiaMate intermezzo kingsideAttack mate mateIn2 middlegame short,https://lichess.org/YkeeJTGy/black#34,Four_Knights_Game Four_Knights_Game_Other_variations,
vgyBZ,q3k2r/1pp2pQp/2n1b3/8/5B2/4P3/P2K1PPP/2r2BNR b k - 3 17,c1f1 g7h8 e8d7 h8a8,818,80,89,436,crushing hangingPiece middlegame short skewer,https://lichess.org/WQVwNBNo/black#34,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation,
kVLZT,5rk1/pQ3ppp/1b6/3B4/8/q5P1/3r3P/2R2R1K b - - 1 35,a3b2 b7f7 f8f7 c1c8 b6d8 c8d8,1715,76,98,3151,attraction long mate mateIn3 middlegame pin sacrifice,https://lichess.org/DI2I77Cu/black#70,,
7POr5,8/4r1k1/p1R2p1p/1p1p3q/3P4/2N2P2/PP1Q1P2/6K1 w - - 0 34,d2f4 e7e1 g1g2 h5h1 g2g3 e1g1,1099,93,93,562,endgame long master mate mateIn3,https://lichess.org/UOP8Ql4M#67,,
oLf2K,1q2n2k/5rpp/2p5/3p4/PB6/2P5/5PPP/4R1K1 b - - 0 28,b8f4 e1e8 f7f8 e8f8 f4f8 b4f8,808,85,88,692,crushing endgame fork hangingPiece long,https://lichess.org/OOykEFxF/black#56,,
ZzK1H,r2qk2r/ppp2ppp/2n5/4P3/3P4/5B2/PP1Q1PPP/R3K2R b KQkq - 0 13,d8d4 f3c6 b7c6 d2d4,925,80,100,170,crushing intermezzo middlegame short,https://lichess.org/drX5s0RD/black#26,Ponziani_Opening Ponziani_Opening_Other_variations,
2i26S,1r1r4/2p2ppp/5nk1/4p1N1/4P2P/Q1Pq4/PP3PP1/R1B1K2R w KQ - 1 18,f2f3 d3d1 e1f2 d1h1 a3e7 b8b2 c1b2 d8d2 f2e3 h1g2 h4h5 f6h5,2693,105,76,201,crushing deflection exposedKing fork middlegame skewer veryLong,https://lichess.org/4JsWdkWP#35,Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations,
2XaB7,Nn3k1r/pp2qp2/3b1n1p/2p3p1/3p2bQ/5N1P/PPPPBPP1/R1B1K2R w KQ - 0 14,f3g5 e7e2,674,97,95,529,mate mateIn1 middlegame oneMove,https://lichess.org/tHX5YCnk#27,French_Defense French_Defense_Chigorin_Variation,
7zPNy,1r4k1/p5pp/2p5/2Pp4/5QP1/5R1P/Pq1p1PK1/3Rr3 b - - 2 32,e1d1 f4f7 g8h8 f7f8 b8f8 f3f8,1220,76,86,194,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/eU46UK1J/black#64,,
IdpfA,r3qrk1/3bpp2/p2N2pb/1p1N3p/4PP2/2Q5/PPP3PP/2KR3R b - - 0 21,e7d6 d5f6 g8h8 f6e8,819,81,87,277,crushing discoveredAttack discoveredCheck fork middlegame short,https://lichess.org/N6IVQYcf/black#42,,
Jq8Dk,6rk/1pR1Q2p/p4ppq/3Pn3/P7/8/1P3PP1/6K1 b - - 1 27,h6h4 g2g3 e5f3 g1g2 h4h2 g2f3,2121,78,85,60,crushing endgame long,https://lichess.org/LrBfe58e/black#54,,
h6KDE,8/1p6/8/3kppP1/1P3P2/5K2/8/8 w - - 0 48,g5g6 e5e4 f3e2 d5e6,1441,81,93,2591,crushing defensiveMove endgame master pawnEndgame short,https://lichess.org/WxDmaFrE#95,,
pKTBC,5k2/1p2r2p/p3B3/4Bp2/1Q2n1qP/6P1/PP3r2/4R1K1 w - - 3 40,e1e4 g4e4 e5g7 f8e8,2367,109,90,604,advantage middlegame short,https://lichess.org/b5wPZyKi#79,,
2GF3j,6k1/p4ppp/1p2b1r1/4P1r1/2pPp3/PqP1P2P/1B2QRPK/5R2 w - - 3 33,f1g1 e6h3 g2h3 g5g1,1653,74,89,689,crushing middlegame short,https://lichess.org/ed6qaamt#65,,
lr3sH,r3r1k1/1pp2ppp/p5q1/P3n3/4p3/2PPB3/2P1QPPP/R3R1K1 w - - 2 18,d3d4 e5f3 g1h1 f3e1,955,100,95,3070,advantage kingsideAttack master middlegame pin short,https://lichess.org/59Qh3sI2#35,Bishops_Opening Bishops_Opening_Vienna_Hybrid,
Gwq11,4r3/5pk1/3p1np1/2r4p/1qPQB2P/1PR3P1/4PP2/5RK1 w - - 1 26,e4c2 c5d5 d4f6 g7f6,2049,78,91,850,advantage master middlegame short,https://lichess.org/VkXpjp3c#51,,
z2bfG,8/p5rk/1pq1p1rp/4Rp2/3P4/4Q2P/PP2R1P1/6K1 w - - 1 32,e5e6 g6g2 g1f1 g2g1 e3g1 c6f3,2519,86,85,98,crushing endgame long sacrifice,https://lichess.org/HMMIexcs#63,,
tPMcQ,3r1rk1/4n1pp/p2b4/1ppqp1N1/3P4/2P1B3/PPQ2PPP/R4RK1 b - - 0 19,e5d4 c2h7,1285,89,83,95,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/HpQXxcvy/black#38,,
xn8EI,rnbq1rk1/pp2b1p1/7p/3B3Q/3P4/8/PP3PPP/R1B2RK1 b - - 0 14,g8h7 d5e4 h7g8 c1h6,2145,94,90,1174,advantage deflection opening short,https://lichess.org/uFUlea9J/black#28,Philidor_Defense Philidor_Defense_Other_variations,
kT7Ek,r2q1rk1/p5pp/np2Pn2/3pp1B1/1b6/2N3P1/PP2NPKP/2RQ1R2 w - - 0 16,c3d5 d8d5 d1d5 f6d5,1117,76,93,1276,advantage middlegame short,https://lichess.org/9y1ryeus#31,English_Opening English_Opening_Other_variations,
Zma6G,r2r3k/1p5p/p4PpB/8/3pq3/3Q3B/1P4PP/2R4K b - - 4 28,e4d3 h6g7 h8g8 h3e6,1090,98,94,1211,endgame mate mateIn2 short,https://lichess.org/UUA4FpBR/black#56,,
InJ4d,r2q1rk1/1p4pp/1Pp5/p1bpB3/P2Nb3/4P3/6PP/R2Q1RK1 b - - 1 21,d8b6 d1g4 e4g6 g4d7,2334,81,28,65,advantage middlegame short,https://lichess.org/86jArdWh/black#42,,
cJNhn,8/6p1/8/1P6/2P5/2P2k2/5rp1/R5K1 w - - 0 55,a1e1 f2d2 b5b6 d2d8 c4c5 d8h8 e1e3 f3e3,2345,96,82,49,crushing endgame quietMove rookEndgame veryLong,https://lichess.org/6bQ5I4iN#109,,
oFCTu,rnb2rk1/pp2q1bp/5np1/2pB2N1/8/7Q/PPP2PPP/RNB2RK1 b - - 0 12,f6d5 h3h7,973,102,76,62,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/VTlleebE/black#24,Benoni_Defense Benoni_Defense_French_Benoni,
Nik5e,4r1k1/p1p2pp1/7p/2p5/6b1/1P1B2P1/P4PP1/R5K1 b - - 0 21,g4e2 a1e1 e2d3 e1e8,1314,72,95,25631,advantage endgame short,https://lichess.org/2JQ4KXyG/black#42,,
0YOhC,r1b2r2/1p1nqpbk/3N1npp/2p1p3/Pp2P3/4BN2/3QBPPP/3R1RK1 b - - 2 17,f6g4 d6c8 f8c8 d2d7 e7d7 d1d7,2039,79,92,3794,advantage discoveredAttack long middlegame,https://lichess.org/vFSGjiYg/black#34,Kings_Indian_Defense Kings_Indian_Defense_Orthodox_Variation,
DcCN2,3r1rk1/pp3ppp/2n2n2/2q3Nb/7B/2P1p2P/PPQ1BPP1/R3R1K1 w - - 0 18,f2e3 c5e3 g1h1 d8d2 c2c1 h5e2,1800,75,87,943,advantage kingsideAttack long middlegame,https://lichess.org/wQRFOX4G#35,Sicilian_Defense Sicilian_Defense_Alapin_Variation,
xWJ0C,5Q2/p5k1/1pp4p/3p2p1/1P4P1/P5KP/5RP1/4qr2 b - - 6 47,g7g6 f8g8,1495,90,80,406,endgame mate mateIn1 oneMove,https://lichess.org/LGNzj2WU/black#94,,
a337Z,r7/4q1kp/p4rp1/R1P2p2/1p1Pb3/1B2P1QP/1P4P1/2R3K1 w - - 0 27,b3a4 e7d8 g3e5 d8a5 e5e7 f6f7,1715,81,70,50,advantage long middlegame trappedPiece,https://lichess.org/qDwFbERR#53,,
T0aPz,3r1rk1/pp3pp1/2p1p2p/q7/P1PPQ3/1PbBR1P1/5P1P/3R2K1 b - - 2 21,c3d4 e4h7,403,112,100,401,mate mateIn1 middlegame oneMove,https://lichess.org/WnErIDAW/black#42,,
Nh3ay,8/8/5p2/5Pp1/3k2Pp/5K1P/8/8 w - - 3 50,f3e2 d4e4 e2f2 e4f4,812,89,93,543,crushing endgame pawnEndgame short zugzwang,https://lichess.org/oIGAo4GQ#99,,
DFyGX,r1b1k2r/p2pqppp/2p2n2/4P1B1/1b3p2/2N5/PPP1Q1PP/R3KB1R b KQkq - 2 10,c8a6 e5f6 a6e2 f6e7,1918,78,84,56,advancedPawn advantage middlegame short,https://lichess.org/qYXoEHtP/black#20,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation,
IMPpW,2kr2r1/p1p2p1p/2pp4/4p1bq/1N4b1/3PQN2/PPP2PPP/R4R1K w - - 4 16,e3a7 g4f3 a7a8 c8d7 a8c6 f3c6,1734,75,93,2200,crushing long middlegame,https://lichess.org/U78W0vWH#31,Ruy_Lopez Ruy_Lopez_Berlin_Defense,
Sh3l5,8/8/8/3p1K2/1k1P4/8/8/8 b - - 3 45,b4b3 f5e6 b3c4 e6e5 c4c3 e5d5,1892,72,94,11878,crushing endgame long pawnEndgame zugzwang,https://lichess.org/MaY2G4rm/black#90,,
8iHP8,r4rkb/p2n1p2/1pNp1q1p/6p1/1PP1p3/P1N1P2P/4BPnB/2RQK2R w K - 0 20,e1f1 g2e3 f1g1 e3d1,852,79,86,168,advantage middlegame pin short,https://lichess.org/tQwrdnYm#39,,
7uRbn,r2q1rk1/1pp2ppp/p2b4/8/4P3/P2n3P/1P2QPP1/RNB2RK1 w - - 0 15,e2d3 d6h2 g1h2 d8d3,747,93,71,78,advantage discoveredAttack middlegame short,https://lichess.org/7Zm1NOOe#29,Nimzowitsch_Defense Nimzowitsch_Defense_Kennedy_Variation,
WP6GS,4k2r/4q1bp/p2pp1p1/4p3/Npr1P3/4P2Q/PPPK1R1P/5R2 b k - 1 23,c4e4 f2f7 e7f7 f1f7,1562,76,88,696,advantage attackingF2F7 middlegame short,https://lichess.org/VWUR9Spe/black#46,,
8FEHp,r3r1k1/ppp2pPp/6q1/4p1B1/7Q/3P2P1/PPP3P1/5RK1 b - - 3 22,e5e4 f1f6 g6f6 g5f6,1587,73,95,6660,advantage endgame short,https://lichess.org/vHFNY6HB/black#44,,
Uc0fY,2kr3r/pp2QP1p/4N1pb/1q1p4/8/6n1/PP3PPP/RNB2R1K w - - 3 18,h1g1 b5f1,742,79,100,308,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Sa844EXw#35,French_Defense French_Defense_Advance_Variation,
TKE1m,r1b2Q2/1p1qR1pk/3p3p/2p5/1p6/5N1P/1PP2PP1/6K1 b - - 5 26,d7f5 e7g7,992,80,90,159,endgame mate mateIn1 oneMove,https://lichess.org/mLgf0s3p/black#52,,
pTSt3,5Bk1/5rpp/2P1p3/1p2P3/2qPp3/R1P5/2Q1p1PP/R5K1 w - - 0 38,a3a8 f7f1 a1f1 e2f1q,1174,75,95,2245,advancedPawn endgame kingsideAttack mate mateIn2 promotion short,https://lichess.org/pquBBjQ4#75,,
MYPRu,8/1p6/2p5/K1PnPk2/P4PP1/8/8/8 b - - 0 38,f5f4 e5e6 f4g4 e6e7 d5e7 a5b6 e7d5 b6b7 g4f3 a4a5 f3e3 a5a6,2333,83,80,108,advancedPawn crushing endgame knightEndgame quietMove sacrifice veryLong,https://lichess.org/rukRyLZM/black#76,,
3heHA,1R6/6pk/P6p/8/P4B2/2bp2P1/7r/3K4 w - - 1 37,b8d8 h2h1,1046,90,90,416,endgame mate mateIn1 oneMove pillsburysMate,https://lichess.org/NXfRHnLI#73,,
dBN4r,3R4/p1R4p/4p2P/2k2p2/3p1P2/r2r4/1p4PK/8 b - - 7 37,c5b4 d8b8 b4a5 c7a7,1134,103,43,40,endgame interference mate mateIn2 rookEndgame short,https://lichess.org/2j21cYzi/black#74,,
jj6Lq,r1b2rk1/ppppn1pp/5q2/4p3/5P2/P1NB2P1/1PP2P1P/R2QK2R w KQ - 0 13,f4e5 f6f2,1056,92,47,51,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/ClMFhd3Q#25,Indian_Defense Indian_Defense_Other_variations,
AdqeL,3r1rk1/pp2p1bp/5np1/4R3/8/2N4P/PP3PP1/R1B3K1 b - - 0 17,f6d5 e5d5 g7c3 d5d8,1429,75,80,237,advantage middlegame short,https://lichess.org/wbuSYTPh/black#34,Sicilian_Defense Sicilian_Defense_Alapin_Variation,
WHj5U,r2q1r1k/ppp1bp1R/3p3B/8/4P2n/2NB4/PPP3QP/R6K b - - 0 18,h8h7 g2g7,775,89,100,131,mate mateIn1 middlegame oneMove,https://lichess.org/TCq3sg3b/black#36,Vienna_Game Vienna_Game_Stanley_Variation,
6iC7s,8/5p2/p7/1b2p2N/5p1P/P4kP1/5P2/6K1 w - - 0 40,h5f6 f4g3 f2g3 e5e4 f6e4 f3e4,2050,77,90,877,crushing endgame long quietMove,https://lichess.org/aDXEgUMa#79,,
l4aGv,4r3/p1Rb2k1/1p3qnp/5pp1/1P1N4/P2QP1P1/5P1P/6K1 b - - 2 33,e8e7 c7d7 e7d7 d4f5 g7f8 d3d7,1868,125,88,14,advantage discoveredAttack long middlegame,https://lichess.org/UNaM9mO1/black#66,,
OzoWD,1r6/p1k2p2/3q2p1/1QpPRn1p/P6P/6P1/5PB1/1KR5 w - - 1 34,c1c5 d6c5 d5d6 c5d6 b5b8 c7b8,1868,75,85,480,advantage long middlegame pin,https://lichess.org/67tidQBV#67,,
rbQsx,4r2k/ppp4p/3pB1pQ/3Pq1P1/4bp2/P7/1PP1r3/1KR3R1 b - - 8 32,e4d3 g1h1 e5g7 h6g7 h8g7 c2d3,2007,76,90,799,advantage long middlegame quietMove,https://lichess.org/EJZvXWQd/black#64,,
qk5Km,5rk1/6p1/p5b1/4P3/2PPpBqp/1P2Q1P1/P1B3KP/8 w - - 0 35,h2h3 g4f3 e3f3 e4f3 g2f3 g6c2,1736,74,94,2345,advantage endgame long,https://lichess.org/B2OgddM1#69,,
Uq53f,3r1k2/1p3ppp/p1nPp3/n1p1N3/5P2/1P4PP/P2R2B1/6K1 b - - 2 26,c6d4 b3b4 c5b4 d2d4,1755,75,100,181,advantage deflection endgame short,https://lichess.org/q0bAiHZc/black#52,,
nE8fW,r1b1k2r/pppp1ppp/8/8/8/4P3/P1QPKPPP/q4BNR b kq - 1 10,b7b6 c2e4 e8d8 e4a8,933,79,69,189,advantage fork middlegame short,https://lichess.org/kCC4OWf9/black#20,Polish_Opening Polish_Opening_Other_variations,
GOO7B,r7/7R/3kp3/4n3/1P3N2/P3P1P1/5K2/8 w - - 1 38,h7h6 e5g4 f2f3 g4h6,1107,76,88,346,advantage endgame fork master short,https://lichess.org/fV3Qp3No#75,,
y4KIn,8/8/8/5B1P/Kpk3P1/6r1/R7/8 w - - 3 70,a2b2 g3a3,830,78,100,360,endgame mate mateIn1 oneMove,https://lichess.org/Ppc9JneN#139,,
5vWYV,5r2/1pr1q1k1/p2N4/4p2p/7n/1PP5/P2Q1PPP/3R1RK1 w - - 0 27,g2g3 h4f3 g1g2 f3d2,950,93,78,70,crushing fork middlegame short,https://lichess.org/eSLoInzZ#53,,
3uELq,4r3/1b4k1/p5P1/8/2BPqp2/4P1Q1/1P4P1/4R1K1 w - - 0 36,g3h4 e4g2,1061,76,100,446,endgame master mate mateIn1 oneMove,https://lichess.org/DBWBAJ01#71,,
uNDZn,1r1q2k1/p4ppp/3b1n2/1b1P4/8/6P1/PBQN1rBP/2R1R1K1 w - - 0 22,g1f2 f6g4 f2f3 g4h2,2166,84,91,160,crushing master middlegame short,https://lichess.org/sLuriNcw#43,,
JQjoR,7k/p5p1/1p4r1/5p1p/1P2pPq1/PQ2P1P1/7P/5RK1 b - - 0 33,h5h4 f1d1 h8h7 d1d8 g6c6 b3g8 h7g6 g8e8,2525,89,91,1556,crushing endgame quietMove veryLong,https://lichess.org/z2RSYjGY/black#66,,
OfwKT,r5k1/1qR2pp1/4pn1p/p2p1P2/3P4/b3PQ1P/1r1N2PB/3R2K1 b - - 2 23,b7b6 d2c4 d5c4 f3a8,1606,74,89,377,advantage middlegame short,https://lichess.org/W39Yp8K1/black#46,,
6nRHF,5k2/1ppb1rp1/3p2Bp/3P2p1/3P4/4R2P/P5PK/8 b - - 4 32,f7e7 e3f3 f8g8 f3a3 e7f7 g6f7,1957,76,89,2829,advantage endgame long quietMove,https://lichess.org/SQum0ErX/black#64,,
Jqnzf,6k1/5p2/p4Rp1/P3r3/1P5P/8/8/6K1 b - - 0 44,e5b5 f6b6 b5e5 b6a6,2006,75,94,7528,crushing endgame master rookEndgame short,https://lichess.org/HW46w7Zn/black#88,,
8byMs,5rk1/7p/3p2p1/3P2B1/2pr2P1/2R2pKP/3n1R2/8 w - - 2 38,f2d2 d4d2 g5d2 f3f2,1122,93,94,387,advancedPawn crushing endgame short,https://lichess.org/MthHX63q#75,,
WQ9aQ,r3rb2/pbqR2k1/1p3npp/4N3/P3p3/1QP3PP/1P2PPB1/4R1K1 b - - 3 22,f6d7 b3f7 g7h8 e5g6,1187,158,83,27,deflection mate mateIn2 middlegame short,https://lichess.org/0Qs3JeVE/black#44,,
NhbKU,rnbq1r2/1pb2p1k/p1p1p1p1/3nP3/1P1P1B2/P6Q/2B2PPP/RN2K2R b KQ - 1 16,h7g7 h3h6 g7g8 f4g5,2224,77,81,351,crushing middlegame short,https://lichess.org/pD8tT5Jq/black#32,French_Defense French_Defense_Knight_Variation,
cfnJ2,r1b2rk1/ppp4p/4pqpQ/3n4/3P4/2PB1N2/P4PPP/R3K2R w KQ - 4 15,f3g5 f6f2 e1d1 d5c3 d1c1 f2e3 c1c2 f8f2,2103,78,92,339,attackingF2F7 crushing fork middlegame veryLong,https://lichess.org/ixuJ3q1Y#29,Queens_Pawn_Game Queens_Pawn_Game_Modern_Defense,
sCacn,B1Q2r1k/3n2pp/8/8/p2P4/P3q2P/1P3pP1/1NR2K2 w - - 2 31,b1d2 e3d3,1953,80,100,34,middlegame,https://lichess.org/ZoJH5JOl#61,,
V71v4,5r1k/p1q4p/3NQ2P/6P1/bp2P3/5P2/PPP5/1K1R4 w - - 1 33,f3f4 c7c2 b1a1 c2d1,1141,132,86,22,backRankMate endgame fork mate mateIn2 short,https://lichess.org/jXUI0yM3#65,,
Ds7o3,r5k1/1p3p2/6p1/3NB2b/P2P1P1q/1P6/3Qr1P1/2R3K1 w - - 1 33,d2c3 h4f2 g1h2 f2g2,1207,89,91,1070,mate mateIn2 middlegame short,https://lichess.org/ZWZ1LsdS#65,,
VZQY1,8/1p1k1N2/2p3P1/3b4/4R3/2P5/6r1/4K3 w - - 1 43,e4e2 g2e2 e1e2 d5f7 g6f7 d7e7 e2f3 e7f7,1783,75,92,372,crushing endgame veryLong,https://lichess.org/9VKe7T9s#85,,
UI3M2,2k3rr/ppp2q2/4p2p/Pb6/2pPQB2/2P1P2P/5PP1/R4RK1 w - - 1 20,a1b1 b5c6 e4c6 b7c6,1508,79,88,51,advantage middlegame short,https://lichess.org/Ii3eWtVn#39,,
HrjhI,6bk/pp6/4q2p/8/5Q2/3B2PP/5P1K/2r5 b - - 2 34,c1d1 f4d4 e6e5 d4e5,1208,83,92,621,endgame mate mateIn2 short,https://lichess.org/6iPV9Q3d/black#68,,
v8WZy,r2q1rk1/pp3p1p/5PpQ/2p5/3pN3/3P2PP/PPP3b1/R5K1 b - - 1 18,g2e4 h6g7,944,76,82,112,endgame mate mateIn1 oneMove,https://lichess.org/F3bYNLDP/black#36,Sicilian_Defense Sicilian_Defense_Closed,
MlMnk,2R5/8/6p1/5k2/5p2/7K/4pBP1/3r4 w - - 4 54,c8e8 d1h1,973,78,100,344,endgame mate mateIn1 oneMove,https://lichess.org/1em2D3g7#107,,
xpibY,8/pp4rr/2p1Qp1k/4p1pn/3PP1R1/1PN5/1PP2q2/1K4R1 b - - 0 32,f2d4 g1h1 d4f2 g4g1,2428,91,84,51,clearance crushing master middlegame short,https://lichess.org/qXFWFqJS/black#64,,
wHMIM,2r2r1k/5pbP/b3p3/p2pP1B1/q2P4/p4Q2/P2NN1P1/1K1R3R w - - 1 30,g5f6 a4c2 b1a1 c2b2,1857,86,40,102,mate mateIn2 middlegame queensideAttack short,https://lichess.org/wYxRgSwL#59,,
tFgO6,r1bq1bnr/ppp3pp/3p1k2/n3p1N1/4P3/3P1Q2/PPP2PPP/RNB1K2R b KQ - 3 7,f6e7 f3f7,858,95,92,173,mate mateIn1 oneMove opening swallowstailMate,https://lichess.org/pebJVHmh/black#14,Italian_Game Italian_Game_Paris_Defense,
658Bz,r3k2r/p1q2ppp/2p5/3pB3/3P2b1/2Q1P1P1/PPP2P1P/5RK1 b kq - 0 17,c7e7 c3c6 e7d7 c6a8,954,76,100,292,advantage fork middlegame short,https://lichess.org/0ZrbpB5R/black#34,Indian_Defense Indian_Defense_Wade-Tartakower_Defense,
pw9oH,4r1k1/p1p2ppp/5q2/1Q3b2/2PP4/4nN2/P3BPPP/5RK1 b - - 1 22,e3f1 b5e8,948,109,93,1207,hangingPiece kingsideAttack master mate mateIn1 middlegame oneMove,https://lichess.org/TBnyXrRP/black#44,,
s8qRb,8/pp2Q1kp/5pp1/2p5/3r1P2/6Pq/PP6/3R2K1 b - - 1 29,g7h6 e7f8 h6h5 f8c5,1602,78,96,18135,advantage endgame short,https://lichess.org/rrypLauB/black#58,,
EayKH,8/8/8/4N1pp/5n1k/5P1P/7K/8 b - - 1 54,f4h3 e5g6,792,82,83,51,endgame knightEndgame mate mateIn1 oneMove,https://lichess.org/6uIfdoDY/black#108,,
jY1r9,8/8/7p/3kp3/5pP1/3K1P2/5P2/8 b - - 3 47,d5c5 d3e4 c5d6 e4f5 d6d5 f5g6 e5e4 f3e4,1464,80,93,723,crushing endgame pawnEndgame veryLong,https://lichess.org/08hTCeHT/black#94,,
Ksbl9,r5k1/3b1p2/3p2p1/1p1P4/3q4/1P1BQ1P1/5PP1/4R1K1 b - - 5 25,d4d5 d3e4 d5e4 e3e4,1529,74,94,840,advantage endgame short,https://lichess.org/cmhpSQXc/black#50,,
DvyFd,6k1/5p2/3p1Bp1/4p3/4P3/2R2BP1/r4n1r/6K1 b - - 1 38,f2g4 c3c8 g8h7 c8h8,1178,76,86,213,endgame mate mateIn2 operaMate short,https://lichess.org/oDp2vz6R/black#76,,
dQHwY,4r3/2pk1p2/2p2q2/3P1Pp1/2Q5/1P3PPp/P5rP/2RR2K1 w - - 1 29,g1h1 e8e2 d5c6 d7e8 d1e1 g2h2,2333,81,47,43,crushing defensiveMove endgame long,https://lichess.org/5hfThwXv#57,,
WMeSJ,8/7p/P7/8/r3p3/2R3Pk/5P2/6K1 w - - 0 42,c3c6 a4a1 c6c1 a1c1,481,110,90,829,endgame mate mateIn2 rookEndgame short,https://lichess.org/VJHTHBQJ#83,,
N10Y5,5rk1/5rpp/p5p1/1ppNb3/3qPp2/3P1RPP/P3Q3/5R1K b - - 0 34,f4g3 d5e7 g8h8 f3f7 f8f7 f1f7,1593,76,93,421,crushing deflection kingsideAttack long middlegame,https://lichess.org/lyvVdLSa/black#68,,
sZW7A,r2R4/5ppk/p6p/8/Pq2nQ2/7P/5PPK/3Rr3 b - - 8 31,e1d1 f4f5 g7g6 f5f7,1359,75,84,150,endgame mate mateIn2 short,https://lichess.org/XiTadsPo/black#62,,
wfcsI,5knr/p1Q2ppp/2p2q2/2b5/8/4pN2/PP3KPP/2R2B1R w - - 0 17,f2g1 e3e2 c1c5 e2e1q c5e5 e1d1,2420,80,91,843,advancedPawn advantage deflection discoveredAttack discoveredCheck long middlegame promotion,https://lichess.org/5HqfRuvW#33,Slav_Defense Slav_Defense_Other_variations,
lUOd9,r2q1bnr/ppp1k2p/3p4/3PppPB/3nP1Q1/2N5/PPP3PP/R1B2RK1 b - - 1 12,f5g4 f1f7 e7e8 f7g7,1326,77,80,278,discoveredAttack discoveredCheck mate mateIn2 opening short,https://lichess.org/Z5xXM7z8/black#24,Vienna_Gambit_with_Max_Lange_Defense Vienna_Gambit_with_Max_Lange_Defense_Other_variations,
IixeC,6k1/pp3p1p/6p1/8/2Q5/PP2qBbP/3R2P1/R3q2K w - - 0 29,a1e1 e3e1 c4f1 e1f1,965,94,97,520,endgame fork mate mateIn2 short,https://lichess.org/xwvQMlHU#57,,
wMxxv,8/8/3k1Rp1/3P2P1/5P2/1r2nK2/8/8 b - - 1 57,d6e7 f6e6 e7d7 e6e3,1393,76,94,2162,advantage endgame master short,https://lichess.org/FouxVEaF/black#114,,
Re5ih,8/3R1Pk1/1q6/1p5p/1P5P/5P2/3p1K2/5R2 w - - 5 51,f2e2 b6e6 e2d2 e6d7,995,79,95,1882,crushing endgame fork queenRookEndgame short,https://lichess.org/uKMKD3FG#101,,
4lbUQ,2r2rk1/1b5p/p2qpp2/1p1p4/2nPnPN1/2NBPQ2/PP5P/2R2RK1 w - - 2 19,c3e4 d5e4 g4h6 g8h8,1232,241,0,3,advantage fork middlegame short,https://lichess.org/CGICszuN#37,Slav_Defense Slav_Defense_Exchange_Variation,
JWqcD,r2q1rk1/4bppb/p1pp1n1p/8/4PB1N/2NQ3P/PPP2PP1/R3R1K1 w - - 11 15,d3g3 f6h5 g3f3 h5f4,1884,78,92,3601,advantage middlegame short,https://lichess.org/S5smdeSh#29,Ruy_Lopez Ruy_Lopez_Steinitz_Defense,
